time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,        0.0587419868,-0.1313761324,-0.0804999918,-3.1797091961,2.0352220535,-35.5306816101
        0.0025641918,        0.0660662055,-0.1313761324,-0.0800117105,-3.1797091961,2.0352220535,-35.5306816101
        0.0051181316,        0.0660662055,-0.1313761324,-0.0800117105,-3.4696261883,2.4319505692,-35.6374931335
        0.0076920986,        0.0660662055,-0.1313761324,-0.0800117105,-3.4696261883,2.4319505692,-35.6374931335
        0.0102500916,        0.0660662055,-0.1313761324,-0.0800117105,-3.5916965008,1.9741870165,-35.5611991882
        0.0128049850,        0.0602068305,-0.1289347261,-0.0736640543,-3.5916965008,1.9741870165,-35.5611991882
        0.0153651237,        0.0602068305,-0.1289347261,-0.0736640543,-3.5306613445,2.2183275223,-35.6374931335
        0.0179240704,        0.0602068305,-0.1289347261,-0.0736640543,-3.5306613445,2.2183275223,-35.6374931335
        0.0204811096,        0.0602068305,-0.1289347261,-0.0736640543,-3.1797091961,2.5082445145,-36.0799980164
        0.0230381489,        0.0709490180,-0.1308878511,-0.0829413980,-3.1797091961,2.5082445145,-36.0799980164
        0.0256700516,        0.0709490180,-0.1308878511,-0.0829413980,-3.1797091961,2.3098802567,-36.0189628601
        0.0282301903,        0.0709490180,-0.1308878511,-0.0829413980,-3.3017795086,2.3098802567,-36.0189628601
        0.0307831764,        0.0709490180,-0.1308878511,-0.0819648355,-3.3017795086,2.3098802567,-35.9579277039
        0.0333352089,        0.0685076118,-0.1196573824,-0.0819648355,-2.7982394695,2.2793626785,-35.9579277039
        0.0360960960,        0.0685076118,-0.1196573824,-0.0819648355,-2.7982394695,2.2793626785,-35.5154228210
        0.0386631489,        0.0685076118,-0.1196573824,-0.0819648355,-2.5693576336,1.9894458055,-35.5154228210
        0.0412230492,        0.0685076118,-0.1196573824,-0.0761054605,-2.5693576336,1.9894458055,-35.5154228210
        0.0437891483,        0.0582537055,-0.1308878511,-0.0761054605,-2.9508273602,2.2183275223,-35.6680107117
        0.0464479923,        0.0582537055,-0.1308878511,-0.0761054605,-2.9508273602,2.2183275223,-35.6680107117
        0.0490190983,        0.0582537055,-0.1308878511,-0.0761054605,-2.8287570477,1.8826342821,-35.6527519226
        0.0517430305,        0.0582537055,-0.1333292574,-0.0844062418,-2.8287570477,1.8826342821,-35.6527519226
        0.0543072224,        0.0685076118,-0.1333292574,-0.0844062418,-3.0271213055,1.8673754930,-35.6680107117
        0.0569121838,        0.0685076118,-0.1333292574,-0.0844062418,-3.0271213055,1.8673754930,-35.6680107117
        0.0594770908,        0.0685076118,-0.1333292574,-0.0844062418,-3.7137668133,2.0352220535,-35.8511161804
        0.0620419979,        0.0680193305,-0.1250284761,-0.0892890543,-3.7137668133,2.0352220535,-35.8511161804
        0.0646111965,        0.0680193305,-0.1250284761,-0.0892890543,-3.7290256023,2.1878099442,-35.9731864929
        0.0672791004,        0.0680193305,-0.1250284761,-0.0892890543,-3.7290256023,2.1878099442,-35.9731864929
        0.0699820518,        0.0680193305,-0.1250284761,-0.0892890543,-3.3933322430,2.3098802567,-35.9426689148
        0.0726771355,        0.0606951118,-0.1328409761,-0.0834296793,-3.3933322430,2.3098802567,-35.9426689148
        0.0753741264,        0.0606951118,-0.1328409761,-0.0834296793,-3.4238498211,2.2030687332,-36.0952568054
        0.0779531002,        0.0606951118,-0.1328409761,-0.0834296793,-3.4238498211,2.2030687332,-36.0952568054
        0.0805230141,        0.0606951118,-0.1328409761,-0.0834296793,-3.8205783367,2.0199632645,-36.1868095398
        0.0830972195,        0.0592302680,-0.1338175386,-0.0717109293,-3.8205783367,2.0199632645,-36.1868095398
        0.0857310295,        0.0592302680,-0.1338175386,-0.0717109293,-3.6374728680,1.8978930712,-36.0494804382
        0.0884320736,        0.0592302680,-0.1338175386,-0.0717109293,-3.6374728680,1.8978930712,-36.0494804382
        0.0911331177,        0.0592302680,-0.1338175386,-0.0717109293,-3.7900607586,2.1115159988,-36.2478446960
        0.0939800739,        0.0641130805,-0.1211222261,-0.0800117105,-3.7900607586,2.1115159988,-36.2478446960
        0.0967190266,        0.0641130805,-0.1211222261,-0.0800117105,-3.2865207195,2.0352220535,-36.1105155945
        0.0994181633,        0.0641130805,-0.1211222261,-0.0800117105,-3.2865207195,2.0352220535,-36.1105155945
        0.1021699905,        0.0641130805,-0.1294230074,-0.0829413980,-2.7677218914,1.9436694384,-36.0494804382
        0.1057081223,        0.0626482368,-0.1294230074,-0.0829413980,-2.7677218914,1.9436694384,-36.0494804382
        0.1082811356,        0.0626482368,-0.1294230074,-0.0829413980,-2.8134982586,1.8826342821,-36.2478446960
        0.1108410358,        0.0626482368,-0.1294230074,-0.0829413980,-2.8134982586,1.8826342821,-36.2478446960
        0.1134071350,        0.0641130805,-0.1299112886,-0.0883124918,-2.0963351727,1.6537524462,-36.4004325867
        0.1162052155,        0.0641130805,-0.1299112886,-0.0883124918,-2.0963351727,1.6537524462,-36.4004325867
        0.1187770367,        0.0641130805,-0.1299112886,-0.0883124918,-2.0047824383,1.7758227587,-36.1410331726
        0.1213409901,        0.0641130805,-0.1299112886,-0.0883124918,-2.0047824383,1.7758227587,-36.1410331726
        0.1239051819,        0.0597185493,-0.1289347261,-0.0809882730,-2.3709933758,1.8215991259,-35.8358573914
        0.1265251637,        0.0597185493,-0.1289347261,-0.0809882730,-2.3709933758,1.8215991259,-35.8358573914
        0.1290891171,        0.0597185493,-0.1289347261,-0.0809882730,-2.3709933758,1.8978930712,-35.4543876648
        0.1316471100,        0.0597185493,-0.1289347261,-0.0809882730,-2.6151340008,1.8978930712,-35.4543876648
