time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,        0.0030611157,-0.0110332742,-0.0074287578,0.0602624714,0.6564984918,-2.3016858101
        0.0027000904,       -0.0057279468,-0.0124981180,-0.0025459453,0.0755212605,1.0532269478,-2.2253918648
        0.0053908825,       -0.0057279468,-0.0124981180,-0.0025459453,0.0755212605,1.0532269478,-2.2253918648
        0.0081450939,       -0.0057279468,-0.0124981180,-0.0025459453,0.0602624714,0.8243451715,-2.2253918648
        0.0108358860,       -0.0057279468,-0.0124981180,-0.0025459453,0.0602624714,0.8243451715,-2.2253918648
        0.0135319233,       -0.0076810718,-0.0095684305,-0.0030342266,0.3349206746,0.7785688043,-2.3932385445
        0.0162289143,       -0.0076810718,-0.0095684305,-0.0030342266,0.3349206746,0.7785688043,-2.2101330757
        0.0196199417,       -0.0076810718,-0.0095684305,-0.0030342266,0.4112146199,0.7327924371,-2.2101330757
        0.0223069191,       -0.0076810718,-0.0144512430,-0.0074287578,0.4112146199,0.7327924371,-2.0880627632
        0.0250039101,       -0.0096341968,-0.0144512430,-0.0074287578,-0.2143957317,0.6870160699,-2.0880627632
        0.0277318954,       -0.0096341968,-0.0144512430,-0.0074287578,-0.2143957317,0.6870160699,-2.3627209663
        0.0302879810,       -0.0096341968,-0.0144512430,-0.0074287578,0.2586267292,0.7022748590,-2.3627209663
        0.0328428745,       -0.0071927905,-0.0149395242,-0.0025459453,0.2586267292,0.7022748590,-2.3627209663
        0.0354070663,       -0.0071927905,-0.0149395242,-0.0025459453,0.1060388386,0.9616742730,-2.3779797554
        0.0380868912,       -0.0071927905,-0.0149395242,-0.0025459453,0.1060388386,0.9616742730,-2.3779797554
        0.0407440662,       -0.0071927905,-0.0149395242,-0.0025459453,-0.2754308879,0.9311566949,-2.1185803413
        0.0434041023,       -0.0052396655,-0.0139629617,-0.0054756328,-0.2754308879,0.9311566949,-2.1185803413
        0.0460770130,       -0.0052396655,-0.0139629617,-0.0054756328,0.3654382527,0.5649457574,-2.4542737007
        0.0487360954,       -0.0052396655,-0.0139629617,-0.0054756328,0.3654382527,0.5649457574,-2.4542737007
        0.0513079166,       -0.0052396655,-0.0139629617,-0.0054756328,0.9147546291,0.3818402886,-2.2253918648
        0.0540258884,       -0.0086576343,-0.0100567117,-0.0035225078,0.9147546291,0.3818402886,-2.2253918648
        0.0565910339,       -0.0086576343,-0.0100567117,-0.0035225078,0.4417321980,0.6259809136,-2.1338391304
        0.0594360828,       -0.0086576343,-0.0100567117,-0.0035225078,0.4417321980,0.6259809136,-2.1338391304
        0.0620050430,       -0.0086576343,-0.0100567117,-0.0084053203,0.1823327839,0.7633100152,-2.1338391304
        0.0645740032,       -0.0076810718,-0.0149395242,-0.0084053203,0.1823327839,0.7633100152,-2.1338391304
        0.0672559738,       -0.0076810718,-0.0149395242,-0.0084053203,0.2128503621,0.6564984918,-2.0728039742
        0.0701999664,       -0.0076810718,-0.0149395242,-0.0084053203,0.2128503621,0.6564984918,-2.0728039742
        0.0727829933,       -0.0076810718,-0.0144512430,-0.0113350078,0.1975915730,0.5039106011,-2.3932385445
        0.0753650665,       -0.0032865405,-0.0144512430,-0.0113350078,0.1975915730,0.5039106011,-2.3932385445
        0.0781710148,       -0.0032865405,-0.0144512430,-0.0113350078,0.6095788479,0.6107221246,-2.2559094429
        0.0807449818,       -0.0032865405,-0.0144512430,-0.0113350078,0.6095788479,0.6107221246,-2.2559094429
        0.0833089352,       -0.0120756030,-0.0207988992,0.0042899922,0.2128503621,0.6717572808,-2.1796154976
        0.0858750343,       -0.0120756030,-0.0207988992,0.0042899922,0.2128503621,0.6717572808,-2.1796154976
