time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,       -0.0314114094,-0.1212570518,-0.0270395130,-6.7642369270,-1.4379442930,2.8586740494
        0.0026998520,       -0.0314114094,-0.1212570518,-0.0270395130,-6.7642369270,-1.4379442930,2.8586740494
        0.0053949356,       -0.0411770344,-0.1173508018,-0.0216684192,-6.3522496223,-1.9109667540,2.9349679947
        0.0081079006,       -0.0411770344,-0.1173508018,-0.0216684192,-6.3522496223,-1.9109667540,2.9349679947
        0.0108020306,       -0.0411770344,-0.1173508018,-0.0216684192,-6.3217320442,-2.0788135529,2.9807443619
        0.0134999752,       -0.0411770344,-0.1158859581,-0.0231332630,-6.3217320442,-2.0788135529,2.9807443619
        0.0161910057,       -0.0309231281,-0.1158859581,-0.0231332630,-6.7794957161,-2.0025196075,3.0112619400
        0.0188989639,       -0.0309231281,-0.1158859581,-0.0231332630,-6.7794957161,-2.0025196075,3.0112619400
        0.0215940475,       -0.0309231281,-0.1158859581,-0.0231332630,-6.7337193489,-1.8194140196,2.6603097916
        0.0242879391,       -0.0358059406,-0.1173508018,-0.0148324817,-6.7337193489,-1.8194140196,2.6603097916
        0.0269818306,       -0.0358059406,-0.1173508018,-0.0148324817,-6.6879429817,-2.0482959747,3.0112619400
        0.0296058655,       -0.0358059406,-0.1173508018,-0.0148324817,-6.6879429817,-2.0482959747,3.0112619400
        0.0321669579,       -0.0358059406,-0.1173508018,-0.0148324817,-6.9931187630,-2.0330371857,3.0570383072
        0.0347359180,       -0.0333645344,-0.1134445518,-0.0226449817,-6.9931187630,-2.0330371857,3.0570383072
        0.0373039246,       -0.0333645344,-0.1134445518,-0.0226449817,-6.7184605598,-2.2771778107,2.9197092056
        0.0399620533,       -0.0333645344,-0.1134445518,-0.0226449817,-6.7184605598,-2.2771778107,2.9197092056
        0.0425360203,       -0.0333645344,-0.1134445518,-0.0226449817,-6.8863072395,-1.7126024961,2.9197092056
