time, acceleration x, acceleration y, acceleration z, gyro x gyro y, gyro z
        0.0000000000,        0.1057040095,-0.0125922859,-0.0799185634,-13.1638259888,9.6533679962,-49.5271186829
        0.0026550293,        0.1057040095,-0.0125922859,-0.0799185634,-12.5839920044,9.3481922150,-49.2829780579
        0.0055890083,        0.1057040095,-0.0125922859,-0.0799185634,-12.5839920044,9.3481922150,-49.2829780579
        0.0083019733,        0.0983797908,-0.0052680671,-0.0721060634,-12.1262283325,9.2871570587,-49.1456489563
        0.0109970570,        0.0983797908,-0.0052680671,-0.0721060634,-12.1262283325,9.2871570587,-49.1456489563
        0.0136921406,        0.0983797908,-0.0052680671,-0.0721060634,-12.3551101685,9.2261219025,-49.4050483704
        0.0163869858,        0.0983797908,-0.0052680671,-0.0721060634,-12.3551101685,9.2261219025,-49.4050483704
        0.0190989971,        0.1061922908,-0.0155219734,-0.0677115321,-12.7670974731,9.2871570587,-49.4355659485
        0.0217959881,        0.1061922908,-0.0155219734,-0.0677115321,-12.7670974731,9.2871570587,-49.4355659485
        0.0244910717,        0.1061922908,-0.0155219734,-0.0677115321,-12.7976150513,9.4397449493,-49.1609077454
        0.0271880627,        0.1061922908,-0.0155219734,-0.0701529384,-12.7976150513,9.4397449493,-49.1609077454
        0.0297930241,        0.1071688533,-0.0160102546,-0.0701529384,-12.7823562622,9.2413806915,-49.2066841125
        0.0323500633,        0.1071688533,-0.0160102546,-0.0701529384,-12.7823562622,9.2413806915,-49.2066841125
        0.0349130630,        0.1071688533,-0.0160102546,-0.0701529384,-13.1027908325,9.4702625275,-49.2524604797
        0.0374860764,        0.1071688533,-0.0160102546,-0.0686880946,-13.1027908325,9.4702625275,-49.2524604797
        0.0401871204,        0.1027743220,-0.0160102546,-0.0686880946,-12.8891677856,9.5770740509,-49.1761665344
        0.0427551270,        0.1027743220,-0.0160102546,-0.0686880946,-12.8891677856,9.5770740509,-49.1761665344
        0.0453231335,        0.1027743220,-0.0160102546,-0.0686880946,-12.4008865356,9.5923328400,-49.0540962219
        0.0479450226,        0.1027743220,-0.0155219734,-0.0613638759,-12.4008865356,9.5923328400,-49.0540962219
