Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
       298,        2.1779732704,      182.0000000000,        1.8815864325,       71.0000000000,       -2.9035696983,      170.0000000000,       -2.1257376671,      243.0000000000,        5.9272933006,      166.0000000000,        2.0151839256,      262.0000000000,     -563.4123535156,       98.0000000000,     -234.4023742676,      149.0000000000,      336.2153015137,      294.0000000000,      298.9991149902,      169.0000000000,     -563.4123535156,       98.0000000000,     -234.4023742676,      149.0000000000,        1.9463179111,        0.7113121152
       278,        2.8376412392,       45.0000000000,        2.2521920204,      165.0000000000,       -3.2087454796,      158.0000000000,       -2.4553275108,      209.0000000000,        4.3818831444,      131.0000000000,        3.0664534569,      229.0000000000,     -575.4057617188,       63.0000000000,     -502.7129211426,      114.0000000000,      369.1895446777,      265.0000000000,      353.9307556152,      159.0000000000,     -575.4057617188,       63.0000000000,     -502.7129211426,      114.0000000000,        2.1475360394,        0.7124114037
       264,        4.5573678017,      157.0000000000,        2.9899849892,       36.0000000000,      -10.6501522064,      150.0000000000,       -2.4021048546,      203.0000000000,        6.8174300194,      149.0000000000,        2.7183089256,       96.0000000000,     -575.4057617188,       47.0000000000,     -575.4057617188,       98.0000000000,      422.5647888184,      149.0000000000,      362.7045593262,      248.0000000000,     -575.4057617188,       47.0000000000,     -575.4057617188,       98.0000000000,        3.1449432373,        0.6630223989
       236,        4.7038521767,      139.0000000000,        3.0070748329,       37.0000000000,       -8.9191951752,      132.0000000000,       -2.8298392296,      183.0000000000,        6.0439925194,      105.0000000000,        2.7476058006,      200.0000000000,     -575.4057617188,       45.0000000000,     -575.4057617188,       96.0000000000,      423.8617858887,      132.0000000000,      370.1203308105,      233.0000000000,     -575.4057617188,       45.0000000000,     -575.4057617188,       96.0000000000,        3.2324855328,        0.7622675896
       265,        3.0432076454,      157.0000000000,        3.0100045204,       40.0000000000,       -8.8942928314,      149.0000000000,       -2.1447806358,      248.0000000000,        4.9224104881,      104.0000000000,        3.3589339256,      155.0000000000,     -575.4057617188,       43.0000000000,     -575.4057617188,       94.0000000000,      423.8617858887,      151.0000000000,      372.4091491699,      249.0000000000,     -575.4057617188,       43.0000000000,     -575.4057617188,       94.0000000000,        2.8138108253,        0.7453491092
       202,        3.6579537392,      153.0000000000,        3.0363717079,       43.0000000000,       -7.3283743858,      146.0000000000,       -3.2282767296,      197.0000000000,        5.4604964256,      107.0000000000,        1.8008285761,      158.0000000000,     -575.4057617188,       47.0000000000,     -575.4057617188,       98.0000000000,      423.8617858887,      150.0000000000,      297.9462585449,        0.0000000000,     -575.4057617188,       47.0000000000,     -575.4057617188,       98.0000000000,        3.2863721848,        0.7039749622
       332,        4.3078560829,      218.0000000000,        2.8649849892,       96.0000000000,       -7.1350150108,      210.0000000000,       -2.3244681358,       39.0000000000,        5.8130354881,      164.0000000000,        3.2495589256,      276.0000000000,     -575.4057617188,      106.0000000000,     -575.4057617188,      157.0000000000,      423.8617858887,      213.0000000000,      384.0668640137,       40.0000000000,     -575.4057617188,      106.0000000000,     -575.4057617188,      157.0000000000,        2.6465971470,        0.8722659349
       236,        3.5627388954,      152.0000000000,        3.1979928017,       35.0000000000,       -8.3483943939,      141.0000000000,       -2.3391165733,      192.0000000000,        6.0659651756,      103.0000000000,        2.1475081444,      214.0000000000,     -575.4057617188,       41.0000000000,     -575.4057617188,       92.0000000000,      423.8617858887,      143.0000000000,      303.4089050293,      235.0000000000,     -575.4057617188,       41.0000000000,     -575.4057617188,       92.0000000000,        3.2943475246,        0.6984027624
       303,        4.0936546326,      188.0000000000,        3.0358834267,       59.0000000000,       -7.4385719299,      181.0000000000,       -3.4590797424,      232.0000000000,        4.1647844315,      150.0000000000,        2.0724992752,      253.0000000000,     -575.4057617188,       73.0000000000,     -553.0888671875,      124.0000000000,      446.1786804199,      182.0000000000,      361.5839538574,      284.0000000000,     -575.4057617188,       73.0000000000,     -553.0888671875,      124.0000000000,        2.3276684284,        0.6479194760
       291,        4.8753929138,      178.0000000000,        2.4559593201,       53.0000000000,       -6.7842750549,      171.0000000000,       -2.7183570862,      222.0000000000,        3.9494524002,      121.0000000000,        3.1584367752,      182.0000000000,     -553.0888671875,       57.0000000000,     -522.7543945312,      108.0000000000,      446.1786804199,      172.0000000000,      338.3295593262,      281.0000000000,     -553.0888671875,       57.0000000000,     -522.7543945312,      108.0000000000,        2.1662604809,        0.5292961597
