Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
       245,        1.0231795311,      173.0000000000,        0.8908553720,       92.0000000000,       -2.5744767189,      211.0000000000,       -0.4597305655,      150.0000000000,        3.0531520844,      142.0000000000,        0.8602809906,      193.0000000000,     -385.3838806152,       98.0000000000,      -82.6495208740,       47.0000000000,      229.0570220947,      164.0000000000,      182.1820220947,      244.0000000000,     -385.3838806152,       98.0000000000,      -82.6495208740,       47.0000000000,        1.9477269650,        0.4460850656
       236,        2.5856795311,      165.0000000000,        1.0773787498,       64.0000000000,       -3.3191056252,      154.0000000000,       -2.8059220314,      205.0000000000,        3.3739528656,      127.0000000000,        1.0663356781,      195.0000000000,     -518.8983154297,       98.0000000000,      -60.7226371765,      218.0000000000,      365.1959533691,      155.0000000000,      263.7402648926,        5.0000000000,     -518.8983154297,       98.0000000000,      -60.7226371765,      218.0000000000,        2.1627538204,        0.5863985419
       239,        2.6447615623,      163.0000000000,        0.8732772470,       62.0000000000,       -4.5305314064,      156.0000000000,       -2.6169571877,      207.0000000000,        3.2338161469,      126.0000000000,        1.3368434906,      177.0000000000,     -544.5483398438,       90.0000000000,      -35.2709770203,      215.0000000000,      366.8744201660,      157.0000000000,      303.9166564941,        7.0000000000,     -544.5483398438,       90.0000000000,      -35.2709770203,      215.0000000000,        2.2865524292,        0.5114063025
       244,        3.4074568748,      166.0000000000,        0.7297225595,       61.0000000000,       -7.3357071877,      158.0000000000,       -2.0715470314,      209.0000000000,        3.1698513031,      110.0000000000,        2.6493434906,      170.0000000000,     -544.5483398438,       88.0000000000,      -29.1216850281,      211.0000000000,      380.0580139160,      158.0000000000,      308.0517883301,      238.0000000000,     -544.5483398438,       88.0000000000,      -29.1216850281,      211.0000000000,        2.9071354866,        0.5527588129
       234,        3.2282576561,      160.0000000000,        0.9592147470,       58.0000000000,       -5.0144181252,      153.0000000000,       -2.1667618752,      204.0000000000,        2.9745388031,      107.0000000000,        1.8480739594,      160.0000000000,     -544.5483398438,       84.0000000000,      -31.7004203796,      208.0000000000,      373.2068176270,      151.0000000000,      313.6975402832,      232.0000000000,     -544.5483398438,       84.0000000000,      -31.7004203796,      208.0000000000,        2.4702250957,        0.5414603353
       237,        2.6906599998,      164.0000000000,        0.8669295907,       58.0000000000,       -5.3459610939,      153.0000000000,       -2.3733048439,      204.0000000000,        3.3651638031,      118.0000000000,        1.5526638031,      169.0000000000,     -544.5483398438,       81.0000000000,      -33.9129447937,      210.0000000000,      415.7788391113,      155.0000000000,      320.2588195801,        0.0000000000,     -544.5483398438,       81.0000000000,      -33.9129447937,      210.0000000000,        2.4101529121,        0.5290940404
       234,        3.4147810936,      162.0000000000,        1.0422224998,       56.0000000000,       -5.6399064064,      154.0000000000,       -2.1433243752,      205.0000000000,        3.4301052094,      108.0000000000,        2.0219020844,      165.0000000000,     -544.5483398438,       83.0000000000,      -42.9003715515,      210.0000000000,      399.4824523926,      152.0000000000,      310.1575012207,      232.0000000000,     -544.5483398438,       83.0000000000,      -42.9003715515,      210.0000000000,        2.5060958862,        0.5449000597
       190,        3.1266951561,      158.0000000000,        1.2097029686,       56.0000000000,       -5.6335587502,      150.0000000000,       -1.2932267189,        0.0000000000,        3.2255153656,      109.0000000000,        2.9135036469,      161.0000000000,     -544.5483398438,       84.0000000000,        0.0000000000,    -2710.0000000000,      399.1925354004,      152.0000000000,      321.1285705566,        2.0000000000,     -544.5483398438,       84.0000000000,        0.0000000000,    -2710.0000000000,        2.2550215721,        0.5333140492
       282,        2.9804482460,      206.0000000000,        1.1159529686,       96.0000000000,       -7.4160361290,      199.0000000000,       -3.1818985939,        6.0000000000,        3.4844012260,      157.0000000000,        1.8462177515,      209.0000000000,     -506.1272888184,      117.0000000000,      -78.2098083496,      168.0000000000,      460.3644104004,      201.0000000000,      357.5659484863,      280.0000000000,     -506.1272888184,      117.0000000000,      -78.2098083496,      168.0000000000,        2.2168142796,        0.4950228333
       243,        2.8051552773,      162.0000000000,        1.0107216835,       53.0000000000,       -6.4248251915,      154.0000000000,       -2.2217001915,      205.0000000000,        3.5029559135,      109.0000000000,        2.0278582573,      165.0000000000,     -506.1272888184,       76.0000000000,       -1.1987037659,      210.0000000000,      440.5432434082,      155.0000000000,      351.3556213379,        0.0000000000,     -506.1272888184,       76.0000000000,       -1.1987037659,      210.0000000000,        2.1136481762,        0.4707328677
       250,        3.1503701210,      161.0000000000,        1.1850380898,       52.0000000000,       -6.7378134727,      154.0000000000,       -1.9814658165,      205.0000000000,        2.9555926323,      108.0000000000,        2.4677996635,      165.0000000000,     -506.1272888184,       77.0000000000,      -38.5064430237,      128.0000000000,      438.1933898926,      157.0000000000,      323.0505676270,      240.0000000000,     -506.1272888184,       77.0000000000,      -38.5064430237,      128.0000000000,        2.0699069500,        0.4538085461
       264,        3.4614052773,      161.0000000000,        1.0912880898,       47.0000000000,       -7.4111533165,      153.0000000000,       -1.7124228477,      206.0000000000,        3.6040301323,      164.0000000000,        2.7124285698,      111.0000000000,     -506.1272888184,       74.0000000000,      -89.6081237793,      125.0000000000,      427.4969787598,      155.0000000000,      300.9558410645,        1.0000000000,     -506.1272888184,       74.0000000000,      -89.6081237793,      125.0000000000,        2.2604768276,        0.4763626158
       341,        0.6221202016,       55.0000000000,        0.4004405141,      202.0000000000,       -1.6859853268,      183.0000000000,       -1.1337392330,        9.0000000000,        2.6414484978,      186.0000000000,        1.1756281853,      134.0000000000,     -367.3211364746,       98.0000000000,     -144.1613311768,      149.0000000000,      207.2485809326,       16.0000000000,      185.1233367920,      187.0000000000,     -367.3211364746,       98.0000000000,     -144.1613311768,      149.0000000000,        0.7359527349,        0.1957499236
       277,        0.9326670766,      183.0000000000,        0.6030772328,       51.0000000000,       -2.1176259518,      172.0000000000,       -1.3969228268,        9.0000000000,        2.2024836540,      141.0000000000,        1.0174250603,      198.0000000000,     -382.4883728027,       98.0000000000,     -110.4699249268,       47.0000000000,      231.2964324951,       14.0000000000,      217.8992156982,      176.0000000000,     -382.4883728027,       98.0000000000,     -110.4699249268,       47.0000000000,        0.8876259327,        0.2259290367
       264,        0.6328623891,      170.0000000000,        0.1929209828,      227.0000000000,       -2.5009267330,      155.0000000000,       -1.0155751705,      103.0000000000,        4.1780695915,      159.0000000000,        1.2601008415,      106.0000000000,     -487.6824645996,       98.0000000000,      -62.5878448486,       47.0000000000,      265.5981750488,      159.0000000000,      198.6426239014,       27.0000000000,     -487.6824645996,       98.0000000000,      -62.5878448486,       47.0000000000,        0.9452434182,        0.1961814761
