Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
       629,        0.8827527165,      201.0000000000,        0.8090222478,       70.0000000000,       -1.6309192181,      295.0000000000,       -1.2642199993,      111.0000000000,        4.3126573563,      260.0000000000,        2.5167589188,      137.0000000000,     -240.5519409180,      124.0000000000,      -84.2714157104,      339.0000000000,      262.1336059570,      264.0000000000,      110.4917678833,        0.0000000000,     -240.5519409180,      124.0000000000,      -84.2714157104,      339.0000000000,        0.7987449765,        0.1764238328
       710,        1.6229870319,      131.0000000000,        0.7597058415,      189.0000000000,       -2.8106067181,      288.0000000000,       -1.8369739056,      105.0000000000,        7.9850206375,      280.0000000000,        4.1500597000,      127.0000000000,     -288.9528198242,      116.0000000000,      -72.5374069214,      363.0000000000,      341.8607788086,      283.0000000000,      107.6841506958,      693.0000000000,     -288.9528198242,      116.0000000000,      -72.5374069214,      363.0000000000,        1.0115128756,        0.1649015099
       703,        1.0936901569,      113.0000000000,        0.7885144353,        4.0000000000,       -3.3237903118,      266.0000000000,       -1.4497668743,       87.0000000000,        6.8746690750,      258.0000000000,        2.9479112625,      109.0000000000,     -269.3910522461,       98.0000000000,      -73.3308639526,      352.0000000000,      359.3626098633,      263.0000000000,      116.6563186646,      660.0000000000,     -269.3910522461,       98.0000000000,      -73.3308639526,      352.0000000000,        0.9712458253,        0.1815525740
       619,        1.7797253132,      113.0000000000,        0.8505261540,      170.0000000000,       -4.4453487396,      276.0000000000,       -2.0025012493,      101.0000000000,        8.2038974762,      268.0000000000,        4.1324815750,      109.0000000000,     -290.7838745117,       98.0000000000,      -78.1084899902,      357.0000000000,      402.0856018066,      274.0000000000,      113.6944885254,      618.0000000000,     -290.7838745117,       98.0000000000,      -78.1084899902,      357.0000000000,        1.3446638584,        0.2760525346
       752,        0.8774052858,      138.0000000000,        0.7484990358,      199.0000000000,       -3.3896846771,      294.0000000000,       -1.7710322142,      112.0000000000,        7.7976479530,      286.0000000000,        2.4040930271,      138.0000000000,     -253.0505065918,      124.0000000000,      -78.1695251465,      376.0000000000,      379.8077697754,      290.0000000000,      113.8928527832,        1.0000000000,     -253.0505065918,      124.0000000000,      -78.1695251465,      376.0000000000,        1.3083803654,        0.2583551407
       725,        0.9692021608,      316.0000000000,        0.7719365358,      201.0000000000,       -3.0146846771,      289.0000000000,       -1.3525751829,      117.0000000000,        7.3938393593,      282.0000000000,        2.5989172459,      143.0000000000,     -236.0827331543,      128.0000000000,      -76.6436462402,      224.0000000000,      369.2486877441,      288.0000000000,      109.6661682129,      180.0000000000,     -236.0827331543,      128.0000000000,      -76.6436462402,      224.0000000000,        1.3334287405,        0.2342196703
       605,        0.6689091921,      190.0000000000,        0.6493779421,      129.0000000000,       -2.6421260834,      263.0000000000,       -1.3042353392,       99.0000000000,        5.6233315468,      255.0000000000,        1.9148353338,      125.0000000000,     -235.9148864746,      107.0000000000,      -56.0137596130,      205.0000000000,      332.3834533691,      260.0000000000,       95.7654113770,      596.0000000000,     -235.9148864746,      107.0000000000,      -56.0137596130,      205.0000000000,        1.2263449430,        0.2679442763
       618,        1.7734013796,      114.0000000000,        0.8671513796,      311.0000000000,       -3.8813838959,      272.0000000000,       -1.7690790892,       99.0000000000,        8.7214756012,      268.0000000000,        4.0090737343,      110.0000000000,     -268.1261901855,       98.0000000000,      -64.1619567871,      373.0000000000,      422.8680725098,      270.0000000000,       93.0579223633,      616.0000000000,     -268.1261901855,       98.0000000000,      -64.1619567871,      373.0000000000,        1.6388139725,        0.2629565299
       785,        1.6977491379,      130.0000000000,        0.7792921066,      194.0000000000,       -2.6606492996,      290.0000000000,       -1.8129930496,      118.0000000000,        6.1908092499,      286.0000000000,        3.3036022186,      126.0000000000,     -284.4292602539,      112.0000000000,      -72.1032104492,      381.0000000000,      370.6915893555,      289.0000000000,      117.7008666992,      781.0000000000,     -284.4292602539,      112.0000000000,      -72.1032104492,      381.0000000000,        0.9488966465,        0.1359676123
       581,        0.9838819504,      313.0000000000,        0.8081007004,      187.0000000000,       -2.1904344559,      256.0000000000,       -0.9462938309,       93.0000000000,        4.9051647186,      252.0000000000,        1.6087779999,      115.0000000000,     -244.5580444336,       98.0000000000,      -78.9086303711,      336.0000000000,      372.7210083008,      255.0000000000,      116.8005981445,        0.0000000000,     -244.5580444336,       98.0000000000,      -78.9086303711,      336.0000000000,        0.7853780389,        0.1476937085
