Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
       253,        1.0785952806,       56.0000000000,        0.8647280931,      178.0000000000,       -1.3120297194,      230.0000000000,       -0.4926937819,      159.0000000000,        4.1295127869,      155.0000000000,        0.5352745652,      208.0000000000,     -440.5537109375,       98.0000000000,     -159.2426605225,       47.0000000000,      202.4669342041,      157.0000000000,      144.1631011963,        0.0000000000,     -440.5537109375,       98.0000000000,     -159.2426605225,       47.0000000000,        1.0092077255,        0.3986592293
       318,        2.3017396927,      214.0000000000,        1.3798648119,       91.0000000000,       -3.2221860886,      202.0000000000,       -1.7138851881,      270.0000000000,        3.8707237244,      198.0000000000,        0.7359581590,      296.0000000000,     -514.1926269531,      142.0000000000,     -286.8214111328,       91.0000000000,      333.0363769531,      201.0000000000,      200.0407867432,      317.0000000000,     -514.1926269531,      142.0000000000,     -286.8214111328,       91.0000000000,        1.4771355391,        0.3936655819
       312,        1.8158999681,      185.0000000000,        1.4736148119,       61.0000000000,       -4.3110532761,      178.0000000000,       -1.5400570631,      242.0000000000,        3.2359580994,      189.0000000000,        3.1173057556,      136.0000000000,     -539.1560058594,      114.0000000000,     -259.5692138672,       63.0000000000,      322.2026367188,      177.0000000000,      236.5398101807,       11.0000000000,     -539.1560058594,      114.0000000000,     -259.5692138672,       63.0000000000,        1.5890951157,        0.4465651810
       275,        1.9164859056,      172.0000000000,        1.5810366869,       47.0000000000,       -3.8716001511,      161.0000000000,       -1.6401547194,      230.0000000000,        2.9410362244,      119.0000000000,        1.7784385681,      172.0000000000,     -547.1363525391,       98.0000000000,     -280.1228027344,       47.0000000000,      326.2156982422,      163.0000000000,      185.3923492432,        0.0000000000,     -547.1363525391,       98.0000000000,     -280.1228027344,       47.0000000000,        1.5372978449,        0.3948978484
       304,        2.0947084427,      195.0000000000,        1.5600405931,       64.0000000000,       -3.7041196823,      179.0000000000,       -1.0561703444,      248.0000000000,        2.8487510681,      137.0000000000,        1.8345909119,      188.0000000000,     -557.4970703125,      116.0000000000,     -264.4520263672,       64.0000000000,      328.5655517578,      186.0000000000,      222.5169830322,        9.0000000000,     -557.4970703125,      116.0000000000,     -264.4520263672,       64.0000000000,        1.5695766211,        0.4437427819
       272,        1.9267398119,      174.0000000000,        1.2709780931,       49.0000000000,       -3.7744321823,      163.0000000000,       -1.3686703444,      228.0000000000,        2.8531455994,      159.0000000000,        0.9923058152,      106.0000000000,     -533.4034423828,       98.0000000000,     -215.7917327881,       47.0000000000,      292.6616210938,      164.0000000000,      187.9863433838,        3.0000000000,     -533.4034423828,       98.0000000000,     -215.7917327881,       47.0000000000,        1.4904899597,        0.4761249423
       316,        1.7963687181,      196.0000000000,        1.3632632494,       74.0000000000,       -3.2920103073,      184.0000000000,       -1.2148617506,      249.0000000000,        3.1109580994,      143.0000000000,        1.7447471619,      196.0000000000,     -547.3041992188,      125.0000000000,     -273.0885009766,       73.0000000000,      311.3231201172,      186.0000000000,      212.5835113525,      310.0000000000,     -547.3041992188,      125.0000000000,     -273.0885009766,       73.0000000000,        1.4501488209,        0.4143730402
       266,        1.9618960619,      171.0000000000,        1.4614077806,       50.0000000000,       -3.2954282761,      160.0000000000,       -1.2964047194,      223.0000000000,        2.8843955994,      118.0000000000,        1.5987510681,      171.0000000000,     -565.1417236328,       98.0000000000,     -284.6241455078,       47.0000000000,      313.4440917969,      163.0000000000,      200.5595855713,        0.0000000000,     -565.1417236328,       98.0000000000,     -284.6241455078,       47.0000000000,        1.3404388428,        0.4132218361
       308,        1.7929507494,      192.0000000000,        1.5571109056,       72.0000000000,       -3.3506040573,      185.0000000000,       -1.2617367506,      250.0000000000,        3.1778526306,      139.0000000000,        1.3287315369,      192.0000000000,     -562.8529052734,      122.0000000000,     -281.6029052734,       71.0000000000,      295.3319091797,      185.0000000000,      221.8761138916,       16.0000000000,     -562.8529052734,      122.0000000000,     -281.6029052734,       71.0000000000,        1.4854291677,        0.4515024722
       286,        1.8551859856,      173.0000000000,        1.4072085619,       48.0000000000,       -4.3362202644,      162.0000000000,       -1.4866108894,      222.0000000000,        3.0108604431,      120.0000000000,        2.5587425232,      171.0000000000,     -557.1003417969,       98.0000000000,     -211.8702239990,       46.0000000000,      333.5822753906,      168.0000000000,      244.0589599609,      280.0000000000,     -557.1003417969,       98.0000000000,     -211.8702239990,       46.0000000000,        1.3951447010,        0.4468078017
