Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
       281,        1.4742877483,      170.0000000000,        0.5211626887,       63.0000000000,       -1.9788372517,      158.0000000000,       -1.4944622517,      228.0000000000,        1.8644849062,      124.0000000000,        1.7223950624,      175.0000000000,     -412.6525878906,       98.0000000000,     -100.2441329956,       47.0000000000,      233.9233398438,      162.0000000000,      202.0019531250,      278.0000000000,     -412.6525878906,       98.0000000000,     -100.2441329956,       47.0000000000,        1.2286205292,        0.2905702889
       269,        1.6368854046,      170.0000000000,        0.4430376887,       72.0000000000,       -3.1907513142,      162.0000000000,       -1.7429974079,      219.0000000000,        2.4509108067,      173.0000000000,        1.8366528749,      121.0000000000,     -429.8034667969,       98.0000000000,      -60.2966232300,       46.0000000000,      287.5732421875,      163.0000000000,      218.4356689453,      268.0000000000,     -429.8034667969,       98.0000000000,      -60.2966232300,       46.0000000000,        1.6617259979,        0.2959375381
       266,        1.6183307171,      175.0000000000,        0.5001665950,       61.0000000000,       -3.1336224079,      163.0000000000,       -1.6873333454,      224.0000000000,        2.4450514317,      174.0000000000,        2.0090162754,      118.0000000000,     -469.9493408203,      102.0000000000,      -82.8185958862,       51.0000000000,      293.2342529297,      167.0000000000,      218.4356689453,        0.0000000000,     -469.9493408203,      102.0000000000,      -82.8185958862,       51.0000000000,        1.3610937595,        0.3149773180
       262,        1.9235064983,      173.0000000000,        0.2823931575,       67.0000000000,       -3.3772747517,      162.0000000000,       -1.6863567829,      222.0000000000,        2.2399733067,      173.0000000000,        2.1603834629,      116.0000000000,     -461.4349365234,       98.0000000000,      -45.0836105347,       46.0000000000,      299.6276855469,      164.0000000000,      221.1364746094,        1.0000000000,     -461.4349365234,       98.0000000000,      -45.0836105347,       46.0000000000,        1.6137174368,        0.2995680869
       240,        1.7423541546,      180.0000000000,        0.4518267512,       78.0000000000,       -4.1492476463,      168.0000000000,       -1.5930950642,      219.0000000000,        2.4509108067,      180.0000000000,        1.8708325624,      128.0000000000,     -470.6512451172,      104.0000000000,      -78.8207931519,       52.0000000000,      327.7343750000,      171.0000000000,      226.4770507812,        3.0000000000,     -470.6512451172,      104.0000000000,      -78.8207931519,       52.0000000000,        1.6542292833,        0.3138504326
       293,        2.0690143108,      197.0000000000,        0.6261431575,       85.0000000000,       -4.1204390526,      190.0000000000,       -1.6433880329,      247.0000000000,        2.4294264317,      201.0000000000,        1.9684888124,      148.0000000000,     -476.4648437500,      126.0000000000,      -97.2991867065,       75.0000000000,      324.7589111328,      191.0000000000,      226.5991210938,       20.0000000000,     -476.4648437500,      126.0000000000,      -97.2991867065,       75.0000000000,        1.5234595537,        0.3095762134
       273,        1.7198932171,      170.0000000000,        0.6954790950,       54.0000000000,       -3.6492474079,      159.0000000000,       -1.5965130329,      220.0000000000,        2.2341139317,      126.0000000000,        1.8073559999,      177.0000000000,     -495.2636718750,       98.0000000000,      -75.9826583862,       47.0000000000,      324.9572753906,      163.0000000000,      220.4498291016,        3.0000000000,     -495.2636718750,       98.0000000000,      -75.9826583862,       47.0000000000,        1.4059638977,        0.3434270322
       271,        1.9912050962,      170.0000000000,        0.5128619075,       72.0000000000,       -3.1889705658,      163.0000000000,       -1.7236386538,      219.0000000000,        2.3315360546,      174.0000000000,        1.9885083437,      121.0000000000,     -465.9210205078,       98.0000000000,      -95.6207199097,       47.0000000000,      308.3861694336,      165.0000000000,      215.1245117188,        0.0000000000,     -465.9210205078,       98.0000000000,      -95.6207199097,       47.0000000000,        1.5472283363,        0.3185733259
       277,        1.9746035337,      169.0000000000,        0.5380800962,       55.0000000000,       -3.2631893158,      161.0000000000,       -1.7290097475,      218.0000000000,        2.7817313671,      172.0000000000,        2.0312430859,      115.0000000000,     -478.5401000977,       98.0000000000,      -63.7604217529,       45.0000000000,      320.4711303711,      162.0000000000,      199.0264434814,        0.0000000000,     -478.5401000977,       98.0000000000,      -63.7604217529,       45.0000000000,        1.7210315466,        0.3360909224
       270,        1.8315371275,      168.0000000000,        0.5151308775,       58.0000000000,       -4.4838924408,      160.0000000000,       -1.6596738100,      217.0000000000,        2.8745048046,      172.0000000000,        1.8422782421,      115.0000000000,     -479.3030395508,       97.0000000000,     -102.2430877686,       46.0000000000,      305.7616577148,      163.0000000000,      219.8852081299,      268.0000000000,     -479.3030395508,       97.0000000000,     -102.2430877686,       46.0000000000,        1.8230131865,        0.3722272217
