Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
       293,        0.9742224216,      175.0000000000,        0.4986364841,       46.0000000000,       -2.1664025784,      164.0000000000,       -0.8661096096,      263.0000000000,        2.0071487427,      160.0000000000,        0.7312698364,      106.0000000000,     -371.7066345215,       98.0000000000,     -234.4996032715,       46.0000000000,      217.1452941895,      168.0000000000,       64.5421447754,        0.0000000000,     -371.7066345215,       98.0000000000,     -234.4996032715,       46.0000000000,        1.1379325390,        0.3023264408
       350,        0.7964880466,      214.0000000000,        0.6304724216,       85.0000000000,       -1.5985314846,      199.0000000000,       -0.8094689846,      283.0000000000,        2.4617385864,      195.0000000000,        0.4192581177,      142.0000000000,     -419.8328552246,      139.0000000000,     -233.3857116699,       87.0000000000,      229.2760314941,      213.0000000000,      132.5658264160,      343.0000000000,     -419.8328552246,      139.0000000000,     -233.3857116699,       87.0000000000,        0.8159000278,        0.2949868739
       275,        1.2959997654,      174.0000000000,        0.6905310154,       52.0000000000,       -2.5921838284,      162.0000000000,       -0.9232385159,      246.0000000000,        2.7659378052,      158.0000000000,        0.7410354614,      105.0000000000,     -426.9739685059,       98.0000000000,     -198.5193786621,       47.0000000000,      255.5211486816,      166.0000000000,      127.8661193848,        0.0000000000,     -426.9739685059,       98.0000000000,     -198.5193786621,       47.0000000000,        1.0465042591,        0.3177439570
       331,        1.5201208591,      218.0000000000,        0.7247107029,       85.0000000000,       -3.3211877346,      203.0000000000,       -1.0526330471,      291.0000000000,        1.7498245239,      157.0000000000,        1.1975784302,      208.0000000000,     -450.4725036621,      135.0000000000,     -201.8915710449,       84.0000000000,      280.7744445801,      209.0000000000,      145.0627746582,       28.0000000000,     -450.4725036621,      135.0000000000,     -201.8915710449,       84.0000000000,        1.2500953674,        0.3039447963
       300,        0.9014685154,      207.0000000000,        0.7344763279,       70.0000000000,       -2.1283166409,      191.0000000000,       -1.0047814846,      279.0000000000,        1.9978713989,      142.0000000000,        1.0652542114,      207.0000000000,     -446.5509948730,      120.0000000000,     -187.4109802246,       69.0000000000,      230.6035461426,      196.0000000000,      129.2241516113,       19.0000000000,     -446.5509948730,      120.0000000000,     -187.4109802246,       69.0000000000,        0.9244825840,        0.3267092109
       331,        2.2803747654,      218.0000000000,        0.6290075779,       88.0000000000,       -4.1087856293,      206.0000000000,       -0.8675744534,      290.0000000000,        2.0022659302,      160.0000000000,        1.7341995239,      218.0000000000,     -440.6916198730,      138.0000000000,     -215.9296569824,       87.0000000000,      275.1286926270,      215.0000000000,      131.5587463379,       18.0000000000,     -440.6916198730,      138.0000000000,     -215.9296569824,       87.0000000000,        1.4364893436,        0.3136187494
       321,        1.4380896091,      196.0000000000,        0.8008825779,       66.0000000000,       -3.0975549221,      184.0000000000,       -0.9173791409,      271.0000000000,        2.1062698364,      180.0000000000,        0.8299026489,      126.0000000000,     -443.0719909668,      116.0000000000,     -194.8877868652,       65.0000000000,      245.4350891113,      188.0000000000,      124.7075500488,       14.0000000000,     -443.0719909668,      116.0000000000,     -194.8877868652,       65.0000000000,        1.1176116467,        0.3097149432
       289,        0.8018591404,      194.0000000000,        0.6973669529,       65.0000000000,       -2.3582971096,      183.0000000000,       -0.9852502346,      266.0000000000,        2.0530471802,      175.0000000000,        0.3504104614,      243.0000000000,     -443.4076843262,      120.0000000000,     -242.1747741699,       69.0000000000,      247.1745910645,      185.0000000000,      120.0536193848,       13.0000000000,     -443.4076843262,      120.0000000000,     -242.1747741699,       69.0000000000,        0.9008187652,        0.3040487468
       340,        1.5914099216,      212.0000000000,        0.7017614841,       88.0000000000,       -3.3607385159,      201.0000000000,       -0.6688439846,      148.0000000000,        1.9617385864,      155.0000000000,        1.7742385864,      212.0000000000,     -461.1689147949,      134.0000000000,     -177.8742370605,       83.0000000000,      271.1308898926,      205.0000000000,      170.2671508789,      327.0000000000,     -461.1689147949,      134.0000000000,     -177.8742370605,       83.0000000000,        1.1153086424,        0.3012416661
       282,        0.8481382132,      172.0000000000,        0.5346616507,       50.0000000000,       -2.2983460426,      161.0000000000,       -0.8452211618,      248.0000000000,        2.4771900177,      157.0000000000,        0.7862721086,      103.0000000000,     -419.7597045898,       98.0000000000,     -166.2807006836,       47.0000000000,      262.4912719727,      166.0000000000,      152.7042846680,        0.0000000000,     -419.7597045898,       98.0000000000,     -166.2807006836,       47.0000000000,        0.9016773701,        0.3166705668
