Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
       285,        0.6173357368,      176.0000000000,        0.3204607368,       65.0000000000,       -1.7166485786,      164.0000000000,       -0.7928205132,      226.0000000000,        1.8525105715,      122.0000000000,        1.3715535402,      173.0000000000,     -402.6266174316,       97.0000000000,      -87.0901336670,       46.0000000000,      212.4704132080,      165.0000000000,      176.8716583252,        7.0000000000,     -402.6266174316,       97.0000000000,      -87.0901336670,       46.0000000000,        0.6868894100,        0.1904783100
       260,        1.0631365776,      172.0000000000,        0.4356951118,       72.0000000000,       -1.9227032661,      160.0000000000,       -0.8631330132,      107.0000000000,        1.8847371340,      171.0000000000,        1.3339558840,      118.0000000000,     -431.5877990723,       98.0000000000,      -57.8695487976,       46.0000000000,      244.6817169189,      166.0000000000,      178.1533966064,        2.0000000000,     -431.5877990723,       98.0000000000,      -57.8695487976,       46.0000000000,        0.8193747997,        0.2353949547
       280,        1.1700701714,      202.0000000000,        0.3365740180,       99.0000000000,       -1.8802227974,      190.0000000000,       -0.9471173882,      259.0000000000,        2.0287802219,      205.0000000000,        1.7675496340,      148.0000000000,     -411.8887023926,      128.0000000000,      -90.8437957764,       77.0000000000,      242.1945343018,      194.0000000000,      175.2694854736,       32.0000000000,     -411.8887023926,      128.0000000000,      -90.8437957764,       77.0000000000,        0.7994342446,        0.1995961368
       295,        1.0494647026,      192.0000000000,        0.3180193305,       97.0000000000,       -1.0145001411,      180.0000000000,       -0.9295392632,      248.0000000000,        2.4506552219,      195.0000000000,        1.3886433840,      143.0000000000,     -425.4537658691,      128.0000000000,      -68.4133758545,       77.0000000000,      249.8697052002,      181.0000000000,      178.6721954346,       38.0000000000,     -425.4537658691,      128.0000000000,      -68.4133758545,       77.0000000000,        0.6932793260,        0.1999296993
       292,        1.0299334526,      184.0000000000,        0.2647966743,       78.0000000000,       -2.6106915474,      173.0000000000,       -0.8035627007,      244.0000000000,        1.8359090090,      147.0000000000,        0.5912801027,      214.0000000000,     -445.9158020020,      110.0000000000,      -86.8154754639,       59.0000000000,      251.0904083252,      177.0000000000,      176.7648468018,       16.0000000000,     -445.9158020020,      110.0000000000,      -86.8154754639,       59.0000000000,        0.8147163987,        0.1845657676
       295,        1.0787615776,      180.0000000000,        0.3282732368,       74.0000000000,       -1.8079571724,      169.0000000000,       -0.8728986382,      241.0000000000,        2.0175497532,      184.0000000000,        1.7377644777,      126.0000000000,     -418.7246398926,      107.0000000000,     -106.2246551514,       56.0000000000,      238.6087188721,      173.0000000000,      189.2007598877,       12.0000000000,     -418.7246398926,      107.0000000000,     -106.2246551514,       56.0000000000,        0.7617468238,        0.2154774666
       271,        1.0924334526,      169.0000000000,        0.3712419868,       67.0000000000,       -1.9529767036,      157.0000000000,       -0.8890119195,      226.0000000000,        2.0253622532,      168.0000000000,        1.6532918215,      116.0000000000,     -444.4967346191,       98.0000000000,      -68.5659637451,       46.0000000000,      253.4555206299,      161.0000000000,      178.0465850830,        3.0000000000,     -444.4967346191,       98.0000000000,      -68.5659637451,       46.0000000000,        0.8004694581,        0.2138689458
       281,        1.1295428276,      176.0000000000,        0.3185076118,       76.0000000000,       -1.9266095161,      164.0000000000,       -0.7679072618,      237.0000000000,        2.1977255344,      179.0000000000,        1.6449910402,      126.0000000000,     -428.2461242676,      106.0000000000,      -69.2068328857,       54.0000000000,      244.5901641846,      170.0000000000,      177.1615753174,       11.0000000000,     -428.2461242676,      106.0000000000,      -69.2068328857,       54.0000000000,        0.8072428107,        0.2017779350
       304,        1.0763310194,      184.0000000000,        0.3810185194,       81.0000000000,       -2.1580438614,      172.0000000000,       -0.8577510118,      249.0000000000,        1.8356761932,      184.0000000000,        1.5514965057,      130.0000000000,     -446.1030883789,      110.0000000000,      -91.3667678833,       59.0000000000,      216.1283569336,      177.0000000000,      175.9672241211,       16.0000000000,     -446.1030883789,      110.0000000000,      -91.3667678833,       59.0000000000,        0.8548856974,        0.2321281433
       253,        1.0919560194,      170.0000000000,        0.4147099257,       63.0000000000,       -2.3455438614,      162.0000000000,       -0.8372431993,      231.0000000000,        1.8439769745,      173.0000000000,        1.6066722870,      120.0000000000,     -427.6552124023,       98.0000000000,      -93.2588577271,       46.0000000000,      239.9015502930,      163.0000000000,      168.0173950195,        1.0000000000,     -427.6552124023,       98.0000000000,      -93.2588577271,       46.0000000000,        1.0028555393,        0.2453964949
