Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
       528,        0.5738869905,       29.0000000000,        0.4923440218,       83.0000000000,       -0.7488669157,      519.0000000000,       -0.5110739470,      159.0000000000,        2.4806873798,      159.0000000000,        0.9186756611,      511.0000000000,     -142.6578369141,      102.0000000000,      -52.1579551697,       51.0000000000,      174.8317871094,      527.0000000000,      139.1872558594,        0.0000000000,     -142.6578369141,      102.0000000000,      -52.1579551697,       51.0000000000,        0.4917504787,        0.1380367428
       525,        0.6715432405,       94.0000000000,        0.4552346468,      166.0000000000,       -0.9158591032,      185.0000000000,       -0.8240622282,      504.0000000000,        1.9274647236,      173.0000000000,        0.9367420673,      492.0000000000,     -144.7635498047,      113.0000000000,      -45.3220176697,      304.0000000000,      201.2294921875,      511.0000000000,      174.8623046875,        1.0000000000,     -144.7635498047,      113.0000000000,      -45.3220176697,      304.0000000000,        0.5326450467,        0.1421186775
       489,        0.6700783968,       92.0000000000,        0.4444924593,       31.0000000000,       -0.8977926970,      471.0000000000,       -0.4588278532,        0.0000000000,        2.2101795673,      153.0000000000,        0.9592030048,      467.0000000000,     -143.8632812500,       98.0000000000,      -52.8446006775,      293.0000000000,      199.7036132812,      481.0000000000,      179.8366699219,        0.0000000000,     -143.8632812500,       98.0000000000,      -52.8446006775,      293.0000000000,        0.5241854787,        0.1316466779
       464,        0.7467385530,       87.0000000000,        0.4103127718,       34.0000000000,       -1.0447653532,      455.0000000000,       -0.5520895720,      175.0000000000,        2.5807850361,      151.0000000000,        1.0226795673,      444.0000000000,     -153.9798583984,       98.0000000000,      -50.8456993103,      285.0000000000,      216.4425048828,      462.0000000000,      186.4284667969,        0.0000000000,     -153.9798583984,       98.0000000000,      -50.8456993103,      285.0000000000,        0.5623714924,        0.1385630071
       483,        0.7750588655,      160.0000000000,        0.7374612093,      106.0000000000,       -1.5340231657,      185.0000000000,       -1.0308377743,      455.0000000000,        3.9548084736,      163.0000000000,        1.1439919472,      444.0000000000,     -159.6103515625,      110.0000000000,      -42.9739875793,      284.0000000000,      216.7934570312,        0.0000000000,      215.2962799072,      466.0000000000,     -159.6103515625,      110.0000000000,      -42.9739875793,      284.0000000000,        0.6621301770,        0.1555495262
       468,        0.8666232228,       79.0000000000,        0.4755099416,      144.0000000000,       -1.2144315243,      447.0000000000,       -0.8716580272,      170.0000000000,        2.3212380409,      151.0000000000,        1.1830544472,      440.0000000000,     -160.3751068115,       98.0000000000,      -46.1325569153,      248.0000000000,      253.3974761963,      456.0000000000,      187.8304595947,        0.0000000000,     -160.3751068115,       98.0000000000,      -46.1325569153,      248.0000000000,        0.7154293060,        0.1937976927
       416,        0.7406466603,       67.0000000000,        0.1937716603,      197.0000000000,       -0.7574002147,      205.0000000000,       -0.5650174022,        0.0000000000,        1.4877419472,      182.0000000000,        0.3290505707,      128.0000000000,     -205.0223236084,      120.0000000000,      -80.3122482300,       68.0000000000,      230.9670562744,        0.0000000000,      112.7724685669,      415.0000000000,     -205.0223236084,      120.0000000000,      -80.3122482300,       68.0000000000,        0.6264107823,        0.1364877671
       562,        0.6698458791,      272.0000000000,        0.4252169728,      116.0000000000,       -1.4136502743,       20.0000000000,       -0.9717556834,      539.0000000000,        1.6630349159,      241.0000000000,        1.0277810097,      527.0000000000,     -180.1810150146,      139.0000000000,      -85.3476486206,       87.0000000000,      218.5921783447,      545.0000000000,      186.2282867432,       22.0000000000,     -180.1810150146,      139.0000000000,      -85.3476486206,       87.0000000000,        0.7235144973,        0.2243266553
       452,        1.0746309757,      152.0000000000,        0.7152560353,       95.0000000000,       -1.6114041805,      171.0000000000,       -0.8701931834,      437.0000000000,        3.7636208534,      155.0000000000,        0.8817849159,      422.0000000000,     -159.1238861084,       98.0000000000,      -37.9080696106,      259.0000000000,      208.7197418213,      449.0000000000,      193.3846588135,        0.0000000000,     -159.1238861084,       98.0000000000,      -37.9080696106,      259.0000000000,        0.7187005877,        0.1537304521
       461,        0.9369357228,      160.0000000000,        0.7391818166,       84.0000000000,       -1.1626737118,      183.0000000000,       -0.9253689647,      446.0000000000,        2.4018044472,      163.0000000000,        0.9203591347,      434.0000000000,     -150.7620697021,      109.0000000000,      -35.8633918762,      268.0000000000,      206.5987701416,        0.0000000000,      201.4870758057,      454.0000000000,     -150.7620697021,      109.0000000000,      -35.8633918762,      268.0000000000,        0.6514780521,        0.1831458807
