Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
       698,        0.1102269888,       72.0000000000,        0.0863012075,       18.0000000000,       -0.1593042612,      308.0000000000,       -0.1446558237,      122.0000000000,        0.1365054250,      657.0000000000,        0.1321108937,       26.0000000000,     -143.6116943359,      156.0000000000,     -102.5655517578,      104.0000000000,       49.6103515625,      697.0000000000,       46.9553222656,      345.0000000000,     -143.6116943359,      156.0000000000,     -102.5655517578,      104.0000000000,        0.1075551957,        0.0316655263
       733,        0.2659887075,       70.0000000000,        0.0423558950,      252.0000000000,       -0.1563745737,      302.0000000000,       -0.1529566050,      168.0000000000,        0.2756655812,      156.0000000000,        0.2146304250,       27.0000000000,     -168.1173095703,      134.0000000000,     -145.3969726562,      185.0000000000,       65.0980224609,       28.0000000000,       62.9923095703,      322.0000000000,     -168.1173095703,      134.0000000000,     -145.3969726562,      185.0000000000,        0.1526646465,        0.0258693080
       747,        0.2606176138,       61.0000000000,        0.0760473013,      309.0000000000,       -0.2711206675,      735.0000000000,       -0.1690698862,      324.0000000000,        0.2146304250,       38.0000000000,        0.1111148000,      671.0000000000,     -146.4650878906,      214.0000000000,     -131.4351806641,      163.0000000000,       58.2926025391,      342.0000000000,       55.6528320312,      746.0000000000,     -146.4650878906,      214.0000000000,     -131.4351806641,      163.0000000000,        0.1513528675,        0.0338247009
       760,        0.2806371450,       61.0000000000,        0.0620558262,      274.0000000000,       -0.1905542612,        0.0000000000,       -0.1601121426,      743.0000000000,        0.2043765187,      141.0000000000,        0.1555483937,       30.0000000000,     -154.8421630859,      122.0000000000,     -143.1997070312,      173.0000000000,       63.2669677734,       31.0000000000,       45.6377334595,      747.0000000000,     -154.8421630859,      122.0000000000,     -143.1997070312,      173.0000000000,        0.1585426629,        0.0411644056
       735,        0.2856886387,       37.0000000000,        0.1123487949,       89.0000000000,       -0.1786668301,      722.0000000000,       -0.1552293301,      208.0000000000,        0.2390452027,      249.0000000000,        0.2175608277,       17.0000000000,     -154.1150817871,      190.0000000000,     -146.2415466309,      138.0000000000,       61.9798965454,      710.0000000000,       52.5499649048,      319.0000000000,     -154.1150817871,      190.0000000000,     -146.2415466309,      138.0000000000,        0.1696234941,        0.0435027853
       712,        0.3076612949,       25.0000000000,        0.1084425449,       76.0000000000,       -0.2543504238,      294.0000000000,       -0.1601121426,      173.0000000000,        0.2717600465,        9.0000000000,        0.1638498902,      101.0000000000,     -152.9401550293,      153.0000000000,     -150.7276306152,      102.0000000000,       60.0878067017,      709.0000000000,       54.3352432251,      308.0000000000,     -152.9401550293,      153.0000000000,     -150.7276306152,      102.0000000000,        0.1896620989,        0.0459726304
       748,        0.4106886387,       56.0000000000,        0.1216261387,      107.0000000000,       -0.2460496426,      322.0000000000,       -0.2460496426,      724.0000000000,        0.3259592652,       36.0000000000,        0.2263498902,      746.0000000000,     -162.8431091309,      126.0000000000,     -155.5036315918,      177.0000000000,       76.6435928345,      359.0000000000,       62.5749893188,      719.0000000000,     -162.8431091309,      126.0000000000,     -155.5036315918,      177.0000000000,        0.2100904286,        0.0448654108
       781,        0.3852980137,       32.0000000000,        0.1851307154,      780.0000000000,       -0.2719005346,      742.0000000000,       -0.1893810034,      329.0000000000,        0.3386123776,      772.0000000000,        0.2595530152,        2.0000000000,     -168.9924011230,       97.0000000000,     -141.8927917480,      148.0000000000,       62.3284912109,      746.0000000000,       56.2273330688,        2.0000000000,     -168.9924011230,       97.0000000000,     -141.8927917480,      148.0000000000,        0.2105374187,        0.0439238064
       656,        0.3589588404,       15.0000000000,        0.0850330591,       66.0000000000,       -0.2142833471,      273.0000000000,       -0.1923106909,      654.0000000000,        0.2224014550,       87.0000000000,        0.2224014550,      213.0000000000,     -172.7026367188,      102.0000000000,     -169.1625976562,      153.0000000000,       67.0739746094,      249.0000000000,       44.0179443359,        0.0000000000,     -172.7026367188,      102.0000000000,     -169.1625976562,      153.0000000000,        0.2041469961,        0.0339201093
       795,        0.2954822779,       63.0000000000,        0.0879627466,      114.0000000000,       -0.2523692846,      766.0000000000,       -0.2484630346,      352.0000000000,        0.2394912988,      792.0000000000,        0.2121475488,       28.0000000000,     -140.7507324219,      126.0000000000,     -133.8690185547,      224.0000000000,       64.2663574219,      772.0000000000,       55.6604003906,      367.0000000000,     -140.7507324219,      126.0000000000,     -133.8690185547,      224.0000000000,        0.1996871978,        0.0460318476
       677,        0.3599354029,       36.0000000000,        0.0777088404,      321.0000000000,       -0.2543224096,      279.0000000000,       -0.2318614721,      675.0000000000,        0.3293350339,      290.0000000000,        0.2707412839,       97.0000000000,     -174.0606689453,       98.0000000000,     -157.6116943359,      149.0000000000,       63.9764404297,      268.0000000000,       62.1911621094,      675.0000000000,     -174.0606689453,       98.0000000000,     -157.6116943359,      149.0000000000,        0.2028273940,        0.0421636179
       737,        0.3721424341,       55.0000000000,        0.0757557154,      261.0000000000,       -0.2372325659,        2.0000000000,       -0.2028810382,      731.0000000000,        0.3166397214,       32.0000000000,        0.1799209863,      111.0000000000,     -159.8089599609,      120.0000000000,     -149.2803955078,      171.0000000000,       62.2369384766,        0.0000000000,       42.7877044678,      735.0000000000,     -159.8089599609,      120.0000000000,     -149.2803955078,      171.0000000000,        0.2122089714,        0.0459584855
       774,        0.3054197431,       67.0000000000,        0.0935056806,      773.0000000000,       -0.2604982257,      338.0000000000,       -0.1975099444,        0.0000000000,        0.3121816516,      773.0000000000,        0.2179433852,       36.0000000000,     -160.5814361572,      140.0000000000,     -158.2010650635,      191.0000000000,       65.1570892334,      367.0000000000,       59.0230560303,      313.0000000000,     -160.5814361572,      140.0000000000,     -158.2010650635,      191.0000000000,        0.1723945886,        0.0440942161
