Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
       654,        0.2267699838,      650.0000000000,        0.1296020150,       76.0000000000,       -0.2156128287,      236.0000000000,       -0.1955932975,      585.0000000000,        0.4499756098,      646.0000000000,        0.1906982809,       34.0000000000,     -158.9179687500,      118.0000000000,      -86.4844970703,      169.0000000000,       88.7779541016,      643.0000000000,       64.8521728516,      590.0000000000,     -158.9179687500,      118.0000000000,      -86.4844970703,      169.0000000000,        0.1738388091,        0.0636631846
       516,        0.3830199838,       26.0000000000,        0.1134887338,      159.0000000000,       -0.2966675162,      508.0000000000,       -0.2869018912,      117.0000000000,        0.5158935785,      159.0000000000,        0.2541748285,      235.0000000000,     -235.0288085938,       97.0000000000,     -159.1621093750,       46.0000000000,       74.3889160156,      502.0000000000,       67.6597900391,      212.0000000000,     -235.0288085938,       97.0000000000,     -159.1621093750,       46.0000000000,        0.2562605143,        0.0514468215
       531,        0.3385863900,       56.0000000000,        0.1486449838,      188.0000000000,       -0.3484253287,      238.0000000000,       -0.3406128287,      150.0000000000,        0.6418701410,      184.0000000000,        0.4983154535,       25.0000000000,     -266.2177734375,      128.0000000000,     -140.5616455078,       77.0000000000,       96.5599365234,       25.0000000000,       73.9921875000,      530.0000000000,     -266.2177734375,      128.0000000000,     -140.5616455078,       77.0000000000,        0.2746778429,        0.0582243986
       553,        0.4259887338,       64.0000000000,        0.1891723275,      300.0000000000,       -0.5442261100,       22.0000000000,       -0.3752807975,      534.0000000000,        0.5261474848,      215.0000000000,        0.4636474848,       45.0000000000,     -250.5012207031,      155.0000000000,     -169.9805908203,      104.0000000000,      110.0487060547,       44.0000000000,      105.5015869141,      552.0000000000,     -250.5012207031,      155.0000000000,     -169.9805908203,      104.0000000000,        0.3041154742,        0.0496428795
       547,        0.4004551172,       46.0000000000,        0.2910801172,      543.0000000000,       -0.4652675390,      508.0000000000,       -0.3446620703,      228.0000000000,        0.5592980385,      174.0000000000,        0.4675537348,        7.0000000000,     -260.9995727539,      120.0000000000,     -184.0037384033,       69.0000000000,      105.5626220703,        0.0000000000,       86.1531219482,      524.0000000000,     -260.9995727539,      120.0000000000,     -184.0037384033,       69.0000000000,        0.2955175340,        0.0839041844
       532,        0.4854160547,       11.0000000000,        0.1802402735,       62.0000000000,       -0.5761073828,      502.0000000000,       -0.3383144140,      114.0000000000,        0.5734581947,      152.0000000000,        0.2702355385,      529.0000000000,     -278.0131225586,       98.0000000000,     -178.3732452393,       47.0000000000,      105.5317840576,      525.0000000000,       59.7096443176,      184.0000000000,     -278.0131225586,       98.0000000000,     -178.3732452393,       47.0000000000,        0.3535993993,        0.0809635296
       497,        0.4727207422,       51.0000000000,        0.1900058985,      248.0000000000,       -0.5209316015,      487.0000000000,       -0.3519862890,      226.0000000000,        0.5217003822,      160.0000000000,        0.4269738197,      226.0000000000,     -274.6867065430,       97.0000000000,     -204.3589630127,      148.0000000000,      105.8217010498,        1.0000000000,       87.7095184326,      496.0000000000,     -274.6867065430,       97.0000000000,     -204.3589630127,      148.0000000000,        0.3447917700,        0.0795322657
       500,        0.4668613672,       31.0000000000,        0.2915683985,       82.0000000000,       -0.5805019140,      492.0000000000,       -0.3851894140,      153.0000000000,        0.7458214760,      175.0000000000,        0.4084191322,       24.0000000000,     -292.3716430664,      120.0000000000,     -154.3711700439,      171.0000000000,      102.9835662842,        9.0000000000,       88.6250457764,      479.0000000000,     -292.3716430664,      120.0000000000,     -154.3711700439,      171.0000000000,        0.3695627749,        0.0910046771
       519,        0.4741855860,       45.0000000000,        0.2027012110,      245.0000000000,       -0.4364589453,      501.0000000000,       -0.3754237890,      140.0000000000,        0.6642785072,      173.0000000000,        0.4865441322,       22.0000000000,     -284.2997436523,      122.0000000000,     -189.9546661377,       71.0000000000,       96.8037567139,      517.0000000000,       95.0489959717,        6.0000000000,     -284.2997436523,      122.0000000000,     -189.9546661377,       71.0000000000,        0.3406455815,        0.0887354538
       528,        0.4707676172,       42.0000000000,        0.1875644922,      250.0000000000,       -0.5074185729,      498.0000000000,       -0.3471034765,      140.0000000000,        0.6183800697,      178.0000000000,        0.4640831947,       12.0000000000,     -275.3580932617,      106.0000000000,     -191.1601104736,      157.0000000000,      102.1443328857,        6.0000000000,       95.3947448730,      516.0000000000,     -275.3580932617,      106.0000000000,     -191.1601104736,      157.0000000000,        0.3484873176,        0.0904654190
